image,operation,mse,psnr,allclose
bus,grayscale,4.560046818369301e-06,101.54111059244033,True
bus,threshold_64,269.23748779296875,23.82944831288733,False
bus,threshold_128,428.7636413574219,21.808624102730377,False
bus,threshold_200,119.19985961914062,27.368046169290324,False
bus,resize_2.0x2.0_nearest,251.29953002929688,24.128886844753897,False
bus,resize_2.0x2.0_linear_vs_bilinear,0.07633214443922043,59.303728974508346,True
bus,resize_3.0x3.0_nearest,327.88299560546875,22.973614666328388,False
bus,resize_3.0x3.0_linear_vs_bilinear,0.07911816239356995,59.14804169129145,True
bus,resize_1.5x1.5_nearest,326.14239501953125,22.996731047595482,False
bus,resize_1.5x1.5_linear_vs_bilinear,0.1212209016084671,57.29502851016342,True
bus,resize_0.75x0.75_nearest,324.99603271484375,23.01202301367706,False
bus,resize_0.75x0.75_linear_vs_bilinear,0.12120671570301056,57.29553677407624,True
bus,flip_0,0.0,inf,True
bus,flip_1,0.0,inf,True
bus,flip_-1,0.0,inf,True
bus,rot90,9763.3671875,8.234807380009947,False
bus,rot180,0.0,inf,True
bus,rot270,9763.3671875,8.234807380009947,False
bus,rot33_fixed,10764.017578125,7.811059625531854,False
bus,rot33_expand,16105.1591796875,6.061153392242602,False
bus,rot-30_fixed,11019.37109375,7.709235520425274,False
bus,rot-30_expand,16930.1015625,5.8442079744881426,False
soccer,grayscale,0.0,inf,True
soccer,threshold_64,27.330425262451172,33.764339714841036,False
soccer,threshold_128,197.51165771484375,25.174876268203057,False
soccer,threshold_200,48.180442810058594,31.3020957373441,False
soccer,resize_2.0x2.0_nearest,50.9906005859375,31.055902335911117,False
soccer,resize_2.0x2.0_linear_vs_bilinear,0.0784824788570404,59.1830764915488,True
soccer,resize_3.0x3.0_nearest,50.06373596191406,31.135571055457003,False
soccer,resize_3.0x3.0_linear_vs_bilinear,0.0793345645070076,59.136179187690765,True
soccer,resize_1.5x1.5_nearest,32.66279983520508,32.99026951414507,False
soccer,resize_1.5x1.5_linear_vs_bilinear,0.11723241209983826,57.44032660021799,True
soccer,resize_0.75x0.75_nearest,32.60535430908203,32.99791436997851,False
soccer,resize_0.75x0.75_linear_vs_bilinear,0.11646957695484161,57.468678628544794,True
soccer,flip_0,0.0,inf,True
soccer,flip_1,0.0,inf,True
soccer,flip_-1,0.0,inf,True
soccer,rot90,2511.4912109375,14.131486982003423,False
soccer,rot180,0.0,inf,True
soccer,rot270,2511.4912109375,14.131486982003423,False
soccer,rot33_fixed,5017.9453125,11.12554436972001,False
soccer,rot33_expand,10118.91796875,8.079462856491958,False
soccer,rot-30_fixed,4824.427734375,11.296345554249392,False
soccer,rot-30_expand,9875.2861328125,8.185306728629556,False
image1,grayscale,0.00034304955624975264,82.77723498984838,True
image1,threshold_64,502.03985595703125,21.123421645692677,False
image1,threshold_128,183.7916259765625,25.487546409506788,False
image1,threshold_200,457.015625,21.531493123620052,False
image1,resize_2.0x2.0_nearest,31.902341842651367,33.09257796556466,False
image1,resize_2.0x2.0_linear_vs_bilinear,0.06791706383228302,59.811014584995156,True
image1,resize_3.0x3.0_nearest,40.43031311035156,32.063732561513184,False
image1,resize_3.0x3.0_linear_vs_bilinear,0.06936121731996536,59.71963654273107,True
image1,resize_1.5x1.5_nearest,38.99074172973633,32.22118863918766,False
image1,resize_1.5x1.5_linear_vs_bilinear,0.10173716396093369,58.05600733856081,True
image1,resize_0.75x0.75_nearest,39.55876159667969,32.15837673497541,False
image1,resize_0.75x0.75_linear_vs_bilinear,0.10205814242362976,58.04232701462223,True
image1,flip_0,0.0,inf,True
image1,flip_1,0.0,inf,True
image1,flip_-1,0.0,inf,True
image1,rot90,8234.30078125,8.974536340758462,False
image1,rot180,0.0,inf,True
image1,rot270,8234.30078125,8.974536340758462,False
image1,rot33_fixed,11717.701171875,7.442379425557348,False
image1,rot33_expand,19468.70703125,5.23743251044813,False
image1,rot-30_fixed,11607.51171875,7.483412300730201,False
image1,rot-30_expand,18767.21484375,5.396805351160438,False
image2,grayscale,1.507040906290058e-05,96.34955320142569,True
image2,threshold_64,584.93408203125,20.4597343397052,False
image2,threshold_128,255.22877502441406,24.06150724792792,False
image2,threshold_200,3.1848483085632324,43.09991608756286,False
image2,resize_2.0x2.0_nearest,8.8218355178833,38.67521404721099,False
image2,resize_2.0x2.0_linear_vs_bilinear,0.03671013563871384,62.48294371704808,True
image2,resize_3.0x3.0_nearest,11.16097354888916,37.65378281994881,False
image2,resize_3.0x3.0_linear_vs_bilinear,0.03134893625974655,63.168575520444,True
image2,resize_1.5x1.5_nearest,10.630386352539062,37.8653131198651,False
image2,resize_1.5x1.5_linear_vs_bilinear,0.037094637751579285,62.437692265416004,True
image2,resize_0.75x0.75_nearest,11.127734184265137,37.66673618046903,False
image2,resize_0.75x0.75_linear_vs_bilinear,0.03794796019792557,62.33891924472873,True
image2,flip_0,0.0,inf,True
image2,flip_1,0.0,inf,True
image2,flip_-1,0.0,inf,True
image2,rot90,8035.34619140625,9.080757684084247,False
image2,rot180,0.0,inf,True
image2,rot270,8035.34619140625,9.080757684084247,False
image2,rot33_fixed,7098.62109375,9.619063656044794,False
image2,rot33_expand,9413.267578125,8.393399569072265,False
image2,rot-30_fixed,6407.31298828125,10.064044216796361,False
image2,rot-30_expand,8769.576171875,8.701017561750504,False
